filename,width,height,class,xmin,ymin,xmax,ymax
1MQUL2E75SJP_jpg.rf.2fd7f915af073bdd0412ba012a4f7ede.jpg,640,640,Spoon,46,287,640,492
1MQUL2E75SJP_jpg.rf.2fd7f915af073bdd0412ba012a4f7ede.jpg,640,640,Spoon,33,187,634,327
1MQUL2E75SJP_jpg.rf.2fd7f915af073bdd0412ba012a4f7ede.jpg,640,640,Spoon,64,118,548,216
1_jpg.rf.075cceb08fc8e1a684dd29d8c8075dc8.jpg,640,640,Backpack,87,21,545,594
a3_jpg.rf.0377acd98821daf179fe85c7eed3435b.jpg,640,640,Ruler,211,511,557,585
cushioned-shoes-15407-1632754173_jpg.rf.46dfe29f66e7fb2779280e8fc00989fa.jpg,640,640,Shoe,247,149,404,513
cushioned-shoes-15407-1632754173_jpg.rf.46dfe29f66e7fb2779280e8fc00989fa.jpg,640,640,Shoe,380,177,496,430
5_jpg.rf.02b18355e8d6e66a852bf999363d33db.jpg,640,640,Backpack,497,207,616,551
5_jpg.rf.02b18355e8d6e66a852bf999363d33db.jpg,640,640,Backpack,375,189,493,489
5_jpg.rf.02b18355e8d6e66a852bf999363d33db.jpg,640,640,Backpack,251,184,367,480
5_jpg.rf.02b18355e8d6e66a852bf999363d33db.jpg,640,640,Backpack,137,221,256,523
5_jpg.rf.02b18355e8d6e66a852bf999363d33db.jpg,640,640,Backpack,28,202,136,515
image23s_jpg.rf.0573e4219e19f8bf31fdc0c1b8d1f350.jpg,640,640,Shoe,306,419,485,532
image23s_jpg.rf.0573e4219e19f8bf31fdc0c1b8d1f350.jpg,640,640,Shoe,242,159,329,293
image23s_jpg.rf.0573e4219e19f8bf31fdc0c1b8d1f350.jpg,640,640,Shoe,317,107,388,248
a2_jpg.rf.02b30933a5e43275593141ca876b22e6.jpg,640,640,Ruler,25,92,586,530
a11_jpg.rf.726e11c490f6d745d1240f9e02fb86d0.jpg,640,640,Ruler,5,303,376,640
a11_jpg.rf.726e11c490f6d745d1240f9e02fb86d0.jpg,640,640,Ruler,53,243,434,596
a11_jpg.rf.726e11c490f6d745d1240f9e02fb86d0.jpg,640,640,Ruler,108,189,502,529
a11_jpg.rf.726e11c490f6d745d1240f9e02fb86d0.jpg,640,640,Ruler,165,110,553,454
a11_jpg.rf.726e11c490f6d745d1240f9e02fb86d0.jpg,640,640,Ruler,228,58,613,405
a11_jpg.rf.726e11c490f6d745d1240f9e02fb86d0.jpg,640,640,Ruler,279,0,640,343
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,234,41,377,348
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,455,15,628,211
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,348,16,451,184
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,378,202,526,442
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,525,284,631,404
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,247,395,421,590
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,10,471,169,623
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,10,304,104,386
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,95,252,260,446
b12_png.rf.56a4abe773187d6fe374673f613f6acc.jpg,640,640,Laptop,150,495,293,614
a10_jpg.rf.75db97dedd64e6ca24aa16b99033c934.jpg,640,640,Ruler,116,178,585,529
a10_jpg.rf.75db97dedd64e6ca24aa16b99033c934.jpg,640,640,Ruler,49,125,496,409
1CYT9PWFUVZG_jpg.rf.499767fa278292c8b01636531fff0716.jpg,640,640,Spoon,236,71,540,588
10_jpg.rf.4db858cd35a5c3f049979d694456a75d.jpg,640,640,Backpack,112,84,412,312
a6_png.rf.5193ff546df8fc663149409c8524851d.jpg,640,640,Ruler,27,42,613,110
a6_png.rf.5193ff546df8fc663149409c8524851d.jpg,640,640,Ruler,26,146,614,217
b4_jpg.rf.7cfda4126264bd5935c544a9b294f392.jpg,640,640,Laptop,168,24,472,609
118671139_232332708155168_1407926443342625862_n-1_jpg.rf.5a1f27a05dace0a2c427c403619ac38e.jpg,640,640,Shoe,125,464,282,584
118671139_232332708155168_1407926443342625862_n-1_jpg.rf.5a1f27a05dace0a2c427c403619ac38e.jpg,640,640,Shoe,0,390,109,601
a1_png.rf.20007d45e89b5c8c13aa682e53ea6da9.jpg,640,640,Ruler,0,0,640,640
14_jpg.rf.953770835a880fc12c2485334c0cf6fa.jpg,640,640,Backpack,0,3,628,624
0SN9IFU3BR9U_jpg.rf.860b0481ae15ad0375e534455c45af88.jpg,640,640,Spoon,39,361,618,602
b9_jpg.rf.a158d27c36d264a7ebc4cf0ffbd54e63.jpg,640,640,Laptop,10,51,213,292
b9_jpg.rf.a158d27c36d264a7ebc4cf0ffbd54e63.jpg,640,640,Laptop,438,56,629,285
b9_jpg.rf.a158d27c36d264a7ebc4cf0ffbd54e63.jpg,640,640,Laptop,15,376,195,577
b9_jpg.rf.a158d27c36d264a7ebc4cf0ffbd54e63.jpg,640,640,Laptop,196,383,409,572
b9_jpg.rf.a158d27c36d264a7ebc4cf0ffbd54e63.jpg,640,640,Laptop,422,371,630,568
a4_jpg.rf.809242e7d69fa378ddba3dd6f53c62fa.jpg,640,640,Ruler,54,122,89,350
a4_jpg.rf.809242e7d69fa378ddba3dd6f53c62fa.jpg,640,640,Laptop,124,21,502,554
2NIDXKKBHOFJ_jpg.rf.68c76022c873ee8f147c1ead1d14d9e3.jpg,640,640,Spoon,51,112,521,350
2NIDXKKBHOFJ_jpg.rf.68c76022c873ee8f147c1ead1d14d9e3.jpg,640,640,Spoon,151,210,595,511
7_jpg.rf.772bbf16be921a4c98cb3d286e3954a5.jpg,640,640,Backpack,94,12,531,621
b11_jpg.rf.6ad7ba9b773c2ccc409c279b9b2e5e9d.jpg,640,640,Laptop,0,237,317,640
b11_jpg.rf.6ad7ba9b773c2ccc409c279b9b2e5e9d.jpg,640,640,Laptop,317,192,640,634
b11_jpg.rf.6ad7ba9b773c2ccc409c279b9b2e5e9d.jpg,640,640,Laptop,287,36,369,144
61Y-85Ei4-L_jpg.rf.7aed1ddc956d2d7e4f00a4444b5ae421.jpg,640,640,Spoon,6,5,640,635
2_jpg.rf.a7b0f209bc9bd4bd19527908cc5597d0.jpg,640,640,Backpack,62,19,589,626
3_jpg.rf.951004b54a28ee7db3f66b2796cc80a5.jpg,640,640,Backpack,164,12,480,615
i1mages_jpg.rf.8252467fff54e66c873500ed2fc30049.jpg,640,640,Shoe,67,199,624,516
8_jpg.rf.9e822a2d8046c80161ede65a88259d76.jpg,640,640,Backpack,102,55,410,536
a9_jpg.rf.8332deaaf2735ee06a46d81cf730529c.jpg,640,640,Ruler,12,14,421,625
ima3ges_jpg.rf.bad5250d57e9cf7d740623dedef2cb95.jpg,640,640,Shoe,334,446,635,618
ima3ges_jpg.rf.bad5250d57e9cf7d740623dedef2cb95.jpg,640,640,Shoe,152,405,447,516
ima3ges_jpg.rf.bad5250d57e9cf7d740623dedef2cb95.jpg,640,640,Shoe,17,258,255,356
1YLC8KEH3RW7_jpg.rf.79e14d798f7785b24e8fde66bf2f64fe.jpg,640,640,Spoon,63,25,599,335
1YLC8KEH3RW7_jpg.rf.79e14d798f7785b24e8fde66bf2f64fe.jpg,640,640,Spoon,37,300,581,615
P230044_editorial_sneaker75_jpg.rf.b6825e543fb37fcda8abdcb9fc713b33.jpg,640,640,Shoe,24,309,592,588
12_jpg.rf.b17456236b2d8671abc5b876cf619abe.jpg,640,640,Backpack,32,139,354,476
b3_jpg.rf.b8805c2990a3cf70fc180382456f2074.jpg,640,640,Laptop,88,28,514,617
f6c5e584b51f0b8110e2f4ae048d8cf6-new-balance-streetwear_jpg.rf.c39ee78e167005f394d61cbed367ff13.jpg,640,640,Shoe,148,213,616,443
b8_jpg.rf.f1f454553b9e3b90e424ef4cac0ede18.jpg,640,640,Laptop,8,7,262,378
b8_jpg.rf.f1f454553b9e3b90e424ef4cac0ede18.jpg,640,640,Laptop,349,30,636,329
b8_jpg.rf.f1f454553b9e3b90e424ef4cac0ede18.jpg,640,640,Laptop,196,363,447,623
020-Sneakers-Encyclopaedia-Vogueint-Jul24-Getty-Images_jpg.rf.e6e931946dd9ce19afc5eb2f50c64fbb.jpg,640,640,Shoe,115,216,360,634
020-Sneakers-Encyclopaedia-Vogueint-Jul24-Getty-Images_jpg.rf.e6e931946dd9ce19afc5eb2f50c64fbb.jpg,640,640,Shoe,273,28,569,347
b5_jpg.rf.c6a727cb4201f95d50fb13d50588f940.jpg,640,640,Laptop,76,9,593,624
b6_jpg.rf.cf1b638b845edf9419def1c2f3efc3fd.jpg,640,640,Laptop,89,11,499,640
images_jpg.rf.ccbe7fddf5659da2c6862350bebc8b96.jpg,640,640,Shoe,148,269,447,474
b7_jpg.rf.f2ae7ad0b2f6eaef558509b1e851ee39.jpg,640,640,Laptop,90,4,553,638
0YNSSQTNOF81_jpg.rf.fae52bc9a98a5e7bdaea7bf82aee15c7.jpg,640,640,Spoon,0,0,282,640
0YNSSQTNOF81_jpg.rf.fae52bc9a98a5e7bdaea7bf82aee15c7.jpg,640,640,Spoon,189,0,450,640
0YNSSQTNOF81_jpg.rf.fae52bc9a98a5e7bdaea7bf82aee15c7.jpg,640,640,Spoon,358,2,638,640
a12_jpg.rf.c3307013fabb90992dfe3ae96ccbc55d.jpg,640,640,Ruler,37,13,360,630
a12_jpg.rf.c3307013fabb90992dfe3ae96ccbc55d.jpg,640,640,Ruler,157,7,488,636
a12_jpg.rf.c3307013fabb90992dfe3ae96ccbc55d.jpg,640,640,Ruler,283,4,610,638
11_jpg.rf.f7793d15f781beacda4e94c27b339176.jpg,640,640,Backpack,121,195,423,479
